POLISH,ENGLISH
powiedzmy,let's say
potrzebne,necessary
zobaczyłem,I saw
umowę,contract
b,b
wraz,together
liceum,high school
różnica,difference
minęło,pass
następnego,next
bronią,weapon
lepszego,better
rzuć,thrust
żadna,none
musze,I have to
mogłaś,you could
firma,business
słyszeć,to hear
państwo,country
f,f
potrzeby,needs
mecz,game
danych,data
dostęp,access
naprzód,forward
nóż,knife
córką,daughter
bawić,entertain
sprawą,thing
mark,Mark
bierze,takes
rękach,hands
miliony,millions
zachować,keep
ubrania,Clothes
jasna,bright
pozwoli,will
znaczyć,mean
żadne,none
wychodzę,come out
zasadzie,principle
akta,files
metrów,meters
woli,will
kyle,kyle
pełne,full
gliny,clay
przypomina,remind
równie,as
żegnaj,farewell
czułem,felt
celem,target
musiało,had to
dziwnego,strange
czarny,black
mojemu,my
jazda,ride
san,san
oczu,eyes
grupy,group
usta,mouth
dobrych,good
słońca,sunset
ataku,attack
swoimi,with his
sklepu,store
spróbuję,I will try
dupę,ass
grace,grace
daleka,far
claire,Claire
sumie,summary
milion,million
znalazła,she found
dzwoni,is calling
domem,home
napisy24.pl,inscript24.pl
pański,your
stracił,he lost
własny,own
zajmuje,occupy
mamie,mum
wspaniała,gorgeous
szkodzi,harm
złym,bad
żył,vein
andy,Andy
zabójca,killer
odnaleźć,find
słyszałaś,you heard
staje,standing
auta,cars
odszedł,gave off
sprzedać,sell
pytam,I'm asking
szefa,chief
pomocą,help
byłaby,would be
ładne,nice
warte,worth
ufać,trust
gdybyśmy,though
porozmawiamy,we talk
wujek,uncle
kod,code
proces,process
osobę,person
zaczęła,She began
nadchodzi,comes
biały,White
sierżancie,Sergeant
stop,Stop
zostali,they were
upewnić,make
idą,go
pięciu,five
zaczniemy,we will start
podróży,travels
wyszło,it came out
ufam,I trust
spytać,ask
siostrę,sister
dostałam,I got
facetów,guys
znacznie,significantly
powietrze,air
trwa,lasts
czasy,times
zobaczy,see
ledwo,barely
akcji,action
pojechać,go
nieba,skies
założyć,assume
winy,fault
zmienił,changed
waszym,by
ziemia,Earth
zamknięte,closed
daję,gives
ah,ah
brian,brian
restauracji,restaurant
pochodzi,comes
próbujesz,you are trying
kłopotów,troubles
umiera,dies
czterech,four
wracamy,we return
małym,small
miały,had
pete,pete
musiałeś,you had to
parku,park
możliwość,possibility
drogą,way
energii,energy
poznałem,I met
próbowałam,I tried
spędzić,spend
mężczyźni,men
wiary,faith
ku,to
mogłaby,she could
usa,USA
budynek,building
przyjdę,come
wróciłem,I came back
żyję,lives
łódź,Łódź
łatwe,easy
winny,guilty
przyszłam,I came
mil,mile
dokumenty,documents
strzelać,shoot
wynocha,get out
przeszkadza,disturb
duża,big
czasów,time
kontrolę,control
dałeś,you gave
barze,bar
zamian,exchange
matko,mother
mogliśmy,We could
zadzwonił,he called
studia,studies
stacji,stations
annie,annoying
własnym,self-esteem
znajduje,find
czyżby,do
dave,dave
przejmuj,worry
język,tongue
nazywają,call
wyglądało,it looked
przekazać,to pass
sądu,court
robiłem,I did
waszą,yours
skończył,finished
pułkowniku,colonel
park,Park
najszybciej,fastest
kwiaty,flowers
kontroli,control
babcia,Grandma
walka,fight
doktora,doctor
jedziesz,you are driving
posłuchać,listen
sercu,heart
najważniejsze,most importantly
zostawię,I will leave
cia,cia
mogłoby,mighty
dupy,dump
skrzywdzić,hurt
przeprosić,apologize
sądziłem,I thought
wierzy,believe
klientów,clients
bezpiecznie,safely
dotykaj,touch
bólu,pain
ducha,ghost
wolności,freedom
leo,leo
układ,system
zabij,kill
seksu,sex
pamięta,remembers
pewność,confidence
luke,luke
ocalić,save
zacząłem,I started
pamięć,memory
cenę,price
opowiedz,story
jakiejś,some
móc,power
teren,area
sklep,store
konia,horse
następnie,then
poprzez,by
niedaleko,near
zdarza,happens
uczyć,teach
stanu,condition
śpi,sleeps
obudź,wake up
napisał,he wrote
dostałeś,you got
lucy,lucid
prawdziwą,TRUE
strach,fear
umiesz,you can
interesy,interest
wszystkimi,all
silny,strong
prosze,Please
bank,bank
wyobrazić,imagine
potrzebna,needed
moge,I can
przyjaciółka,friend
zmęczony,tired
bezpieczna,secure
potrzebować,need
klubu,club
niezbyt,not very
komputer,computer
nieprawdaż,unknown
impreza,party
charles,charles
wróć,back
byliście,you were
najlepszą,best
siłę,strength
pociąg,train
szkoła,school
przeszłość,past
normalnie,normally
okazało,shown
oczywiste,obvious
bezpieczny,safe
wyjechać,to leave
zero,zero
następne,next
gościem,guest
czekajcie,wait
pistolet,gun
wiedziałaś,you knew
zapach,smell
używać,use
doszło,occurred
drużyny,team
dan,dan
waszych,your
wyluzuj,deposit
idealnie,perfectly
tatuś,daddy
biorąc,taking
łatwiej,easier
pieprzyć,fuck
gwiazdy,star
znaleziono,found
liczyć,to count
wątpliwości,doubts
ukryć,hide
wymaga,requires
kamery,cameras
carter,carter
trakcie,course
powrót,return
wyglądał,look
alarm,alarm
filmu,film
głęboko,deep
ręki,hand
czyni,makes
zechcesz,you will
udawać,to pretend
planu,plan
siostro,sister
czytać,to read
chicago,Chicago
jutra,tomorrow
problemem,problem
śmieci,garbage
eric,eric
dzwonię,I'm calling
byłbym,I would be
duch,spirit
przyjechał,he came
clark,clark
rozmowa,conversation
narkotyki,drug
matt,matt
cholernie,damned
kevin,kevin
new,new
zostaną,willing
ryzyko,risk
strzał,shot
sto,hundred
wyjdziesz,leave
cos,something
wykorzystać,to use
dziadek,Grandpa
długa,long
wóz,car
szlag,damn
kompletnie,totally
pomógł,help
wolność,freedom
daniel,Daniel
scott,scott
nawzajem,mutually
czekają,they are waiting
kelly,kelly
pamięci,memory
powinniście,you should
jesli,if
nr,number
prezydenta,president
tęsknię,I miss
najlepszych,best
przyniosę,yield
śledztwo,investigation
wyciągnąć,pull out
mieszkam,I live
wspomnienia,memories
którymi,which
tygodnia,weekly
boi,booi
pojawił,appeared
rozkazy,orders
łodzi,boat
zmiana,change
psy,dogs
zajęcia,activities
samobójstwo,suicide
potrwa,willing
bycia,bey
bierzesz,take
starego,old
tamtego,that
wolne,free
towar,commodity
sytuację,situation
adam,Adam
głową,head
zadowolony,glad
pewnym,certain
normalne,normal
pieprzony,pepper
fajne,nice
jakich,which
ładny,nice
gdziekolwiek,wherever
zabiła,she killed
północy,midnight
przynieść,bring
that,That
żebyście,that
martin,martin
podobnie,Similarly
spadaj,get lost
piątek,Friday
ciężkie,heavy
większe,bigger
okoliczności,circumstances
mego,my
waszego,by
słodki,sweet
sztuki,art
wsparcie,support
gorąco,hot
napisów,subtitles
okazję,occasion
zaczekać,wait
odpowiada,corresponding
dajesz,you give
leki,anxieties
cisza,silence
przyjaciółką,friendly
będąc,being
niebo,sky
chcieliśmy,we wanted
chora,sick
pełni,fully
kochana,Dear
rose,rose
pokładzie,deck
siostrą,sister
wino,wine
larry,larry
napisać,write
kotku,Kitty
dziewczyn,girl
punkcie,point
ofiar,victory
czasach,times
dziwny,weird
badań,test
napisane,written
poradzić,help
minutę,minute
trzymasz,hold
połowę,half
konieczne,necessarily
chłopakiem,boy
stóp,Stop
tatą,dad
zadać,demand
podejdź,approach
mieszkaniu,apartment
susan,susan
wchodzi,enters
detektywie,detective
sklepie,shop
patrzysz,you look
państwa,countries
duszę,soul
poszedłem,I went
zabrali,they took
projekt,design
jenny,jenny
najmniej,least
poważne,serious
czynienia,do
trzeci,third
angeles,angeles
sekret,secret
kolejną,next
jestes,Are you
klucze,keys
ranny,injured
kolejna,next
zęby,teeth
kwestia,issue
mając,having
zobaczył,he saw
pańskie,Lord
umowa,arrangement
moze,maybe
wyjdę,leave
mieszkać,to live
pozwala,allows
odciski,imprints
czysto,purely
bezpieczne,secure
stała,constant
zmarła,died
twoimi,Yours
abby,abby
obecnie,currently
pierdol,pierdol
powinny,they should
powodów,reasons
wujku,uncle
zrobienia,dance
zapomniałam,I forgot
patrzę,I'm looking
zamiaru,intention
południe,South
stole,table
lisa,fox
ukradł,stole
wróciłeś,you came back
wybaczcie,forgive
joey,jooy
czułam,I felt
jazdy,driving
samych,alone
armii,army
km,KM
zeszłej,last
działo,gun
alice,alice
umarła,dead
wieczoru,evening
wydawało,it seemed
kieszeni,pocket
piłkę,ball
misji,mission
pokonać,defeat
działania,actions
czekamy,we wait
znał,knew
dowiemy,we will learn
skończyliśmy,we finished
setki,hundreds
świąt,world
ciśnienie,pressure
dziewczynki,girl
wysłał,he sent
spodnie,pants
gadasz,talk
kartę,card
nosić,to wear
nos,nose
pole,field
przypuszczam,I suppose
faktycznie,really
piosenkę,song
zacznij,start
karen,karen
dupek,asshole
zdjęć,images
zabili,killed
maggie,maggie
nadszedł,come
czysty,clean
dzieciaka,kid
kłamstwo,lie
show,show
mistrzu,master
żałuję,I regret
zrobią,they will do
poczucie,sense
jason,jason
akt,Act
street,Street
oby,may
kościoła,church
nakaz,warrant
obejrzeć,see
ted,ted
nagranie,recording
pozwolisz,let
narkotyków,drug
łączy,combines
jasno,brightly
słodkie,sweet
zrobione,done
zwierzęta,Animals
pijany,drunk
łeb,head
żartuję,kidding
gejem,gay
kolor,color
królem,king
zajęta,busy
zachowanie,behavior
muzykę,music
kontrolować,control
pańska,Lord
mężczyznę,man
nogę,leg
kupiłem,I bought
chłopcem,boy
cholerny,damn
ruchu,traffic
klient,client
mieszkasz,you live
dzwoń,bell
sąd,court
przyszłym,future
sprzęt,equipment
van,van
zabija,kills
nagrodę,award
pisze,writes
straciliśmy,we have lost
przyjąć,accept
zostałeś,you have been left
patrzy,look
robert,Robert
ryby,fish
odpowiedzialny,responsible
robiłeś,did you
dotrzeć,arrive
rzeczywistości,reality
sieci,network
pospiesz,hurry
boku,side
dużą,big
udać,go
bój,funk
generale,general
plaży,beach
lot,flight
przyszłaś,you came
trzymam,hold
pojadę,I will go
bilety,tickets
vegas,vegas
zagrać,play
prawdziwego,TRUE
radio,radio
doprawdy,really
biznes,business
szacunku,respect
paru,steam
chwilą,one SEC
podobało,like
pisać,write
operację,operations
rzucić,throw
klasie,class
umrę,die
przyda,useful
nosi,wears
powietrza,air
klubie,club
pamiętać,remember
pogadamy,we'll talk
troszkę,a bit
drzwiami,door
tatusiu,daddy
pragnę,I would like to
dźwięk,sound
przedstawić,present
chłopców,boys
sądzi,think
zacznę,start
zabierzcie,take
matce,mother
n,n
mylisz,mischief
szczery,honest
pracowałem,work
oddech,breath
połóż,put
prawdą,TRUE
plecy,back
niedawno,recently
wyjątkiem,exception
używa,use
znajdą,they will find
walter,walter
hotel,hotel
molly,molly
imienia,names
brawo,way to go
pełen,full
ślubu,wedding
odpowiedzieć,reply
porucznik,lieutenant
połączenie,connection
darmo,free
bracia,brethren
rąk,cancer
strachu,fear
sean,Sean
bzdury,nonsense
wiatr,wind
muzyki,music
przyjdź,come
odeszła,left
małej,small
wojnie,war
ameryki,America
północ,North
znacie,you know
alan,alan
bohaterem,hero
biegnij,run
romans,Romance
przerwę,break
rozmawiamy,we talk
piwnicy,basement
sprawiedliwości,justice
przyjemnością,pleasure
czerwony,Red
uśmiech,smile
bedzie,will be
bomba,bomb
sił,force
wsiadaj,go
anglii,England
witajcie,Hello
zmęczona,tired
robiła,she was doing
napić,drink
ręka,hand
zauważyłem,I noticed
kupił,bought
słyszał,heard
zakończyć,end
bar,bar
życzę,wish
pełna,full
książę,prince
ważny,important
wchodzę,come in
niebie,sky
systemu,system
zamierza,intend
zbliża,zoom
okres,period
biedny,poor
kapitana,captain
zabijać,kill
przypadkiem,by chance
nadziei,hope
wybierasz,do
ciężki,heavy
zapytaj,ask
wszedł,entered
zaszczyt,honor
ostatniego,latter
lesie,Forest
okropnie,terribly
wakacje,holiday
aresztowany,arrested
głosy,voices
widzieliście,you have seen
lewej,left
skomplikowane,complicated
gary,gary
tajemnicy,secrecy
szkołę,School
zespołu,team
uważać,watch
chciałabyś,you would like
programu,program
duszy,soul
połowa,half
książka,book
stopy,foot
odpocząć,to rest
ramię,arm
przygotuj,prepare
julie,julie
przeżyć,survive
kolacji,dinner
skończyła,she ended
niedobrze,not good
kontynuować,to continue
skończyło,ended
znieść,bear
interesujące,interesting
taylor,taylor
wpaść,come down
szpital,hospital
zasługuje,deserves
własnych,own
miecz,sword
pracujemy,we work
rolę,role
zabiją,kills
dotyczy,refers to
poprosić,ask
ofiarą,victim
pozycji,position
zginąć,die
prysznic,shower
łóżko,bed
sprawić,make
rozmawiałam,I was talking
zakupy,shopping
grze,game
zejdź,descend
gówna,shy
dumna,proud
żołnierzy,soldiers
sędzia,judge
city,city
obrony,defense
próba,trial
wpadł,fell
wroga,enemy
dostała,she got
wierz,believe
zostawiła,left
rozwiązanie,solution
miejsc,places
kochał,loved
pełno,full
carl,carl
tylu,so many
zadziała,work
jezus,Jesus
wolałbym,I would rather
wielkiej,big
idiota,idiot
raka,cancer
zasad,principle
południu,south
klub,club
kłamiesz,you are lying
kurde,damn
chwile,moments
piekła,hell
chuck,chuck
sensie,sense
zajmij,occupy
kawał,piece
lily,lily
śladów,traces
powtarzam,repeat
thomas,Thomas
najgorsze,the worst
zdarzyło,happened
środek,middle
zdaniem,think
klienta,client
zostawcie,leave
funtów,pounds
wstyd,shame
lady,lady
wziąłem,I took
stworzyć,create
kłamie,lie
planety,planet
morderca,murderer
przeze,bye
aha,I see
odnośnie,with regard
para,couple
ciele,calf
połowie,half
filmie,film
bazy,base
czyste,clear
jeff,jeff
wymiar,dimension
świadków,witnesses
dowiem,find out
władzy,authority
amen,Amen
chloe,chloe
wysoko,high
rachunek,bill
sypialni,bedroom
dosłownie,literally
piekło,hell
mężczyzny,man
cudowne,wonderful
czekał,waiting
gratuluję,congratulations
pozwólcie,congress
załatwię,consuming
helen,helve
włosów,hair
potrafią,they can
josh,josh
dotąd,so far
przystojny,handsome
simon,simon
głównie,mainly
dupku,dump
hank,hank
niewinny,innocent
swojemu,to his
piersi,breast
oddział,branch
złą,bad
słuchasz,you are listening to
komórki,cellular
starszy,older
okiem,eye
firmę,company
smith,smith
kurs,course
lois,loose
pomyłka,mistake
znalazłaś,you found
ust,mouth
prawej,right
bilet,ticket
stanów,of states
pomimo,despite
starym,old
drużyna,team
sukces,success
bronić,defend
łazienki,bathrooms
ważna,important
szansy,chance
decyzji,decisions
świadka,witness
dali,dilapidated
litość,mercy
musieliśmy,we had
przeznaczenie,destiny
jackie,Jackie
dowiedział,he learned
pyta,asks
tv,tv
strona,side
nareszcie,at last
niemal,almost
szukają,look
postawić,put
pracą,Work
anna,Anna
operacja,operation
starych,old
dostaje,get
rada,advice
cofnąć,undo
herbaty,tea
mowa,speech
poprzednio,previously
ono,it
piosenka,song
kamień,stone
trzymał,held
złota,gold
zostawiłem,I left
francji,france
dzwonić,call
miej,hide
spotkaliśmy,we met
wolna,Free
specjalnie,especially
pacjentów,patients
samochodem,by car
samolotu,aircraft
zakładam,assume
szalone,crazy
przyjdziesz,will you come
szukałem,I was looking
jednostki,units
zwrócić,return
dwaj,two
siedział,sat
szczegóły,details
kolana,knees
marzenia,dreams
miesiącu,monthly
praktycznie,practically
królowa,Queen
odwiedzić,visit
sa,there are
ed,eD
grasz,play
ważnego,valid
punktu,point
umie,still
al,al
uderzył,hit
przerwy,interruption
zapomniałeś,you forgot
żonie,wife
porze,sort
goście,guests
krwią,blood
strzelaj,shoot
poprostu,just
skończę,finish
baru,bar
większy,greater
położyć,put
zdrowia,health
rzeczach,stems
sprawach,cases
nienawidzi,hate
znałem,I knew
zabawny,funny
żonaty,married
przesłuchanie,hearing
przyszło,it came
widzieli,they saw
ruszamy,web
wykonać,perform
prędzej,sooner
zaczynasz,you start
usłyszałem,I heard
spod,bottom
byc,to be
dookoła,around
odpowiedz,reply
skupić,focus
dyrektor,director
królową,Queen
las,forest
tysiąc,thousand
wodą,water
drzewa,trees
okna,windows
odrobinę,little
piwa,beer
bezpieczeństwo,security
wdzięczny,grateful
zabieraj,take
oficjalnie,officially
mądry,clever
phil,phil
brakowało,missed
dziewięć,nine
przenieść,move
typu,type
bogiem,god
rozmawiał,talked
filmy,movies
jackson,Jackson
terry,terry
immunitet,immunity
cud,miracle
wywiad,interview
odsuń,remove
zajmiemy,we will take
palców,fingers
martwa,dead
znają,know
forsę,money
święty,holy
meksyku,Mexico
poznałam,I met
ludzkie,human
umieram,I'm dying
mogły,they could
czekałem,I waited
gliną,clay
wszelkie,all
wiecznie,eternally
doświadczenie,experience
walkę,struggle
cudem,miracle
zabójstwo,murder
tatę,daddy
twego,one
miejmy,let
poprosił,asked
istnieją,they exist
dupie,ass
prosił,asked
oddam,I will give
świadkiem,witness
opowiedzieć,tell
tańczyć,dance
profesorze,professor
miejscach,places
zastanawiałem,wondering
swe,all
polega,depends
naszymi,our
zabijesz,you will kill
opieki,care
dachu,roof
pozostać,remain
zegarek,watch
twarzą,face
bać,bey
zapłacę,I will pay
gorsze,worse
pojedziemy,we will go
złoto,gold
posiada,hold
porozmawiam,I will talk
ni,ni
ręką,hand
artykuł,article
wziąłeś,you took
dostaniemy,let's get
podstawie,basis
pozwolił,he let
pozwolenie,permission
em.,em.
władzę,authorities
rozwiązać,solve
miami,Miami
johna,john
kolejnego,subsequent
profesor,professor
rzeki,river
zdjąć,take off
celi,cell
autobus,bus
odbiór,reception
suka,female dog
reszty,rest
pracowników,employees
spotkaniu,meeting
złożyć,fold
ilość,quantity
taniec,dance
zainteresowany,interested
wyłącz,turn off
lepsza,better
wychodzić,go out
emu,emu
winien,should
oddychać,breathe
kręci,spin
r,r
okazja,opportunity
wpływ,influence
mile,nice
grał,play
obrazy,pictures
ochronę,protection
słyszy,hear
ameryce,america
siła,strength
ciemności,darkness
naprawde,really
stanowisko,position
plus,plus
szacunkiem,respect
ostrożny,careful
podobne,like
umiejętności,skills
pojawi,appear
dzieła,work
pośpiesz,hurry
kumpel,buddy
próbuj,try
alphahff,Alphahff
dziewczynie,girl
misja,mission
głośno,loud
dar,gift
jemu,him
nazywał,named
dean,Dean
przypomnieć,remind
uszy,ears
robin,robin
wyraźnie,clearly
kontrolą,control
elizabeth,elizabeth
sally,sally
wracasz,come back
zostałam,I was
weźmiemy,we will take
ściany,wall
działają,work
doświadczenia,experiences
wejście,entry
zacznijmy,let's start
sprzedaż,sale
sześciu,six
żadnym,nobody
julia,julia
rusz,flutter
palce,fingers
nazywać,call
szukał,he was looking
przeczytać,read
idealny,ideal
przyjechać,come
nadzieje,hope
talent,talent
poważny,serious
strata,loss
styl,style
zniknęła,She disappeared
uwolnić,freed
ochrona,security
piękną,beautiful
betty,Betty
zapraszam,I invite
pokaz,show
służby,service
czerwone,Red
is,IS
takimi,such
poniedziałek,Monday
zwierząt,animal
kochamy,We love
kosztuje,costs
morgan,morgan
barry,barry
wodzie,water
winna,vineyard
otwieraj,open
randka,date
prawnikiem,lawyer
złych,bad
kawałki,piece
czuł,felt
zło,evil
trzymajcie,hold
kłamać,to lie
uspokoić,calm down
słaby,weak
dobrzy,goody
jaj,egg
czysta,clean
urządzenie,device
zabieram,I'm taking
telefony,phones
ciasto,pie
smutne,sad
zdejmij,remove
dwoma,two
przedstawienie,performance
grozi,threatening
podpisać,sign
dają,give
odcinek,episode
maria,maria
synchro,synchro
podejrzany,suspect
skontaktować,contact
mistrz,master
huh,huh
aresztować,arrest
terenie,area
pacjenta,patient
oddychaj,breathe
przeczucie,hunch
wiarę,faith
zgadnij,guess
skończyłam,I finished
zdajesz,you pass
księżyc,moon
pomyślał,he thought
służyć,serve
piosenki,songs
tamtym,that
posłuchajcie,listen
chcieć,want
kradzież,theft
osobiste,personal
generał,general
pogrzeb,funeral
tłumaczy,explains
małych,small
podnieś,raise
pomagać,help
umowy,contract
żyjemy,live
wyłącznie,only
dziadku,grandfather
gadaj,talk
niewiarygodne,unwrapped
samotny,lonely
byle,any
pytać,ask
gdyż,because
osiągnąć,to achieve
charlotte,charlotte
palec,finger
chłopie,peasant
obiecaj,promise
ruszyć,move
szalona,crazy
wesołych,Happy
kawa,coffee
snu,sleep
przestrzeni,space
zwycięstwo,victory
niektórych,some
ucieka,escape
sukinsyn,sukinsyn
zapewnić,ensure
butelkę,bottle
znany,known
pracują,work
kochają,love
patrząc,looking
roger,roger
bałagan,mess
wysokości,height
oczami,eyes
smakuje,tastes
obecność,presence
odpowiedzialność,responsibility
dawać,give
głodna,hungry
katie,katie
plemienia,tribe
zapytam,I will ask
siedzisz,you are sitting
czytałem,I read
zginie,die
powrotu,return
zmianę,change
mr,master
poznaliśmy,We met
zaczynają,starting
bądźcie,be
papiery,papers
dałam,I gave
drzewo,tree
duchy,ghost
nate,on this
suko,bitch
sobotę,Saturday
ofertę,offer
torbę,bag
dostaliśmy,we got
dołączyć,join
płacić,pay
dziennie,daily
pomysły,ideas
wzięła,she took
rodzicami,parents
gwiazdą,star
bomby,bombs
obaw,fear
ranka,rank
umrzesz,you will die
babciu,grandma
powiemy,we will say
źródło,source
sara,Sara
wskazuje,indicates
dziecku,child
potrzebowała,she needed
przeszkadzam,distort
szczęśliwi,happy
zabójstwa,murder
oka,eye
tez,too
napisy24,subtitles24
picia,drinking
przyjedzie,arrival
wygrał,won
majorze,major
wstać,get up
prawnika,lawyer
spodziewałem,expected
prace,work
wiek,age
agencie,agent
uważnie,carefully
myślałaś,you thought
zajęło,it took
wyzwanie,challenge
zaproszenie,invitation
jakichś,some
przyjechałem,I arrived
miesiąca,month
myśleliśmy,we thought
gwiazda,star
ważniejsze,major
dojdzie,come
zostaliśmy,We stayed
niebezpieczeństwie,danger
deszcz,rain
kościół,church
pewni,confident
wiedząc,knowing
załatwione,settled
skorzystać,exercise
nauczył,taught
sztuka,piece
kolacja,dinner
zaczniesz,you will start
rozmawiam,I'm talking
ricky,ricky
miejscem,placement
powiedziałbym,I'd say
zechce,chance
zapewniam,assure
szeryfie,sheriff
tekst,text
następna,next
ślad,trace
okazuje,show
lekarze,doctors
wyspie,island
spacer,walk
andrew,andrew
william,William
dowiedziałem,I found out
weźmiesz,you will take
zabity,killed
wytłumaczyć,explain
miałabym,I would have
jones,jones
zaczęli,began
samochody,vehicles
porozmawiajmy,let's talk
skóry,skin
wsparcia,support
sądziłam,I thought
cierpię,suffer
podejrzanego,suspicious
sposobem,way
wyobraź,imagine
herbatę,tea
wezwać,call
martwisz,you worry
beze,noble
pomówić,die
pozostaje,remains
środki,means
dziwka,slut
materiał,Material
tamten,that
koszmar,nightmare
idealne,perfect
agenta,agent
armia,army
scenariusz,script
pozycję,position
pacjent,patient
wolisz,you prefer
niesamowity,incredible
minął,passed
pełną,full
wybrał,chosen
udaje,pretend
podjąć,take
niebezpieczny,dangerous
ratować,rescue
wrogów,enemies
próbowała,tried
fair,fare
skończysz,you're done
oficer,officer
przedtem,before
mac,mother
zabierze,will take
nazwać,name
wyrok,judgment
byście,by
samemu,alone
mordercą,murderer
siedzę,I'm sitting
poczuć,feel
kochany,Dear
dzwoniła,she called
zachód,West
panienko,mockery
all,all
zrozumiano,understood
zmieniła,she changed
your,your
ludziach,people
uniknąć,avoid
pańskiej,Lord
podłodze,floor
zresztą,besides
przetrwać,survive
sprawdziłem,I checked
jeździć,ride
rzadko,rarely
stopni,degree
babci,grandma
pojęcie,concept
kilometrów,kilometers
dłoń,hand
ustalić,establish
adwokata,advocate
rock,rock
love,love
płakać,cry
lepszym,better
obozu,camp
zaufanie,trust
śladu,trace
chłopaków,boy
ucieczki,escape
mamusiu,mummy
małżeństwa,marriages
głosu,voice
radzę,I advise
wyrzucić,to throw away
londynie,london
partnera,partner
zagrożenie,danger
ciemno,dark
sprowadza,brought
straszny,horrible
czarne,black
obiecałem,I promised
przyniosłem,I brought
warunki,conditions
tytuł,title
dłoni,palm
chuja,prick
obcy,stranger
zachowywać,behave
miłością,love
słyszeliście,heard
weźcie,take
czekasz,wait
prawem,law
pożyczyć,to borrow
ukraść,steal
wyłączyć,turn off
pokład,deck
kłopot,trouble
głupio,stupid
zobaczyłam,I saw
louis,louis
firmie,company
lody,ice-cream
pieprz,pepper
musiałaś,you had to
specjalny,special
nastroju,mood
błędy,mistakes
mleko,milk
przyszli,future
przyjęcia,acceptance
nosa,nose
prowadzę,lead
wydać,spend
poszli,followed
przychodzić,come
szybki,quick
szacunek,respect
rozmawiałeś,you was talking
bombę,bomb
pracowała,she worked
wieki,ages
wycofać,withdraw
lista,list
nadejdzie,come
białe,White
telefonów,phones
rozmawia,talking
marty,marty
nauki,science
pierścionek,ring
mięso,meat
nauczyłem,I taught
straciłam,I lost
walczył,fought
kota,cat
zapomnę,I will forget
londynu,London
pożegnać,bid farewell
jednocześnie,simultaneously
silna,strong
poszukać,look
wydział,department
kot,cat
dokonać,make
pachnie,smell
głodu,hunger
jesse,jesse
zwykły,ordinary
największy,the biggest
konie,horses
pewną,certain
przestał,He stopped
red,red
przejdzie,pass
zrozumiesz,you will understand
gazety,newspapers
sekundy,second
wynik,result
długie,long
zostaniemy,we will be
śpiewać,sing
cole,cole
dwadzieścia,twenty
odpuść,relish
kłamstwa,lie
pokazał,showed
dziewczyno,girl
śpisz,you are sleeping
lotnisko,airport
fajny,cool
czek,check
kochałem,I loved
dusza,soul
twojemu,your
drogie,expensive
kontrakt,contract
braci,brothers
powodem,reason
żywo,vividly
usunąć,to remove
wyślij,send
przeprosiny,apology
jedz,eat
marzenie,dream
wart,worth
choroba,disease
żołnierze,soldiers
tim,tim
partner,partner
wściekły,mad
płacz,cry
kula,ball
zwolnić,release
fred,fred
zróbcie,do
muzeum,Museum
sekundę,second
wychodzimy,come out
przemocy,violence
momentu,torque
towarzystwo,company
sierżant,sergeant
kobiecie,woman
zrozum,understand
typ,type
choroby,diseases
poradzisz,advice
obóz,camp
zaskoczony,surprised
ukrywa,hiding
dało,gave
powiedzcie,tell
emma,emma
puszczaj,release
obowiązek,responsibility
rick,rick
któregoś,one
jednakże,However
cholerne,damn
decyzje,decisions
zadzwoni,call
okulary,glasses
płaci,paid
misję,missions
walce,struggle
zachowujesz,behave
wypuść,relish
pomóżcie,help
swą,with their
śmierdzi,stink
tajemnica,mystery
poszłam,I went
kolega,friend
jamie,jamily
parker,parker
stawiam,I bet
dowodu,proof
wizytę,visiting
przysłał,sent
zaczęliśmy,we started
nathan,nathan
testy,tests
zapomniał,he forgot
wyżej,higher
podnieść,pick up
źródła,sources
lekcje,lesson
gram,gram
rozumiecie,you understand
pojechał,he drove
cierpi,suffering
poczujesz,you will feel
planecie,planet
karierę,career
pytał,He was asking
prawnik,lawyer
grane,grave
życzenie,wish
dojść,come
prosimy,please
pokazuje,show
angielsku,English
członków,membership
mówicie,you say
łazience,bathroom
prosi,asks
powietrzu,air
kończyć,end
pokaże,show
but,shoe
czarna,black
przybył,arrived
granicy,border
wiedzieliśmy,We knew
ulubiony,Favourite
kluczyki,keys
idioto,idiot
wychodzisz,come out
nagrania,recordings
silnik,engine
ślubie,marriage
for,for
chcielibyśmy,we would like
procent,percent
zdolności,ability
kółko,circle
słodka,sweet
poważna,serious
skończ,finish
wartości,value
praw,right
cofnij,back
trafił,hit
wyślę,will send
przechodzi,pass
spotykać,meet
postaram,doom
prezydencie,president
zwłoki,corpse
zmian,change
głównym,Main
widzą,see
jajka,eggs
bawi,ship
słusznie,rightly
spóźnienie,late
przyjąłem,Understood
ryzykować,risk
robiłam,I was doing
wpadłem,I fell into
forsy,forsy
troche,a bit
jo,joke
plotki,gossip
zazdrosny,jealous
frankie,frank
koń,horse
polu,field
vince,vince
główny,main
major,major
kupię,buy
pali,pallets
zejść,descend
połączyć,to combine
imprezy,event
ross,Ross
st,st
uwierzysz,you believe
alibi,alibi
bal,ball
próbując,trying
żyła,vein
uciekła,fled
carol,carol
skórę,skin
rusza,moving
meczu,match
zginęła,died
zjednoczonych,united
dupkiem,dump
wschód,East
zarobić,earn
wygrywa,wins
jeremy,jeremy
wręcz,evenly
zwierzę,animal
